table_name	column_name
FrequentUser	TechnicalResultID
FrequentUser	ContractID
FrequentUser	ContractYYMM
FrequentUser	MemberID
FrequentUser	MemberName
FrequentUser	Class
FrequentUser	PER
FrequentUser	Nationality
FrequentUser	Relation
FrequentUser	DOB
FrequentUser	NoofClaims
FrequentUser	ClaimsAmount
FrequentUser	EarnedPremium
FrequentUser	LossRatio
FrequentUser	DataRefreshDate
FrequentUser	MedicalCondition
FrequentUser	ParentTechnicalResultID
FrequentUser_CRM	ID
FrequentUser_CRM	OpportunityID
FrequentUser_CRM	TechnicalResultID
FrequentUser_CRM	ContractID
FrequentUser_CRM	ContractYYMM
FrequentUser_CRM	MemberID
FrequentUser_CRM	MemberName
FrequentUser_CRM	Class
FrequentUser_CRM	PER
FrequentUser_CRM	Nationality
FrequentUser_CRM	Relation
FrequentUser_CRM	DOB
FrequentUser_CRM	NoofClaims
FrequentUser_CRM	ClaimsAmount
FrequentUser_CRM	EarnedPremium
FrequentUser_CRM	LossRatio
FrequentUser_CRM	DataRefreshDate
FrequentUser_CRM	MedicalCondition
FrequentUser_CRM	ParentTechnicalResultID
Gender	ID
Gender	Name
Gender	Description
Gender	Status
Gender	GenderCode
GrossPremiumAuthorityMartix	ID
GrossPremiumAuthorityMartix	RoleID
GrossPremiumAuthorityMartix	StartRange
GrossPremiumAuthorityMartix	EndRange
GrossPremiumAuthorityMartix	CreatedBy
GrossPremiumAuthorityMartix	CreatedDate
Insurer	ID
Insurer	Name
Insurer	Discount
IpacTable	ID
IpacTable	ParentID
IpacTable	Name
IpacTable	Status
LnkRolePermission	RoleID
LnkRolePermission	PermissionID
LnkUserRole	UserID
LnkUserRole	RoleID
LRSegmentation	ID
LRSegmentation	SegmentName
LRSegmentation	Status
LRSegmentationRange	ID
LRSegmentationRange	RangeFrom
LRSegmentationRange	RangeTo
MailTemplate	ID
MailTemplate	Type
MailTemplate	Description
MailTemplate	Body
MailTemplate	Title
MailTemplate	ActionUrl
MegaCasesBookRate	ID
MegaCasesBookRate	BatchID
MegaCasesBookRate	BookRate
MegaCasesBookRate	CreatedBy
MegaCasesBookRate	CreatedDate
MegaCasesClaimCheck	ID
MegaCasesClaimCheck	BatchID
MegaCasesClaimCheck	ClaimAmount
MegaCasesClaimCheck	CreatedBy
MegaCasesClaimCheck	CreatedDate
MegaCasesCostCurve	ID
MegaCasesCostCurve	BatchID
MegaCasesCostCurve	NetWorkID
MegaCasesCostCurve	Gender
MegaCasesCostCurve	Age
MegaCasesCostCurve	Value
MegaCasesCredibility	ID
MegaCasesCredibility	BatchID
MegaCasesCredibility	GroupSizeStart
MegaCasesCredibility	GroupSizeEnd
MegaCasesCredibility	Credibility
MegaCasesCredibility	CreatedBy
MegaCasesCredibility	CreatedDate
Member	ID
Member	OpportunityId
Member	OppoID
Member	MemberID
Member	MemberType
Member	FullName
Member	ProductID
Member	ChildProductID
Member	ProdID
Member	DateOfBirth
Member	GenderCode
Member	Age
Member	FamilyStatus
Member	Nationality
Member	NationalityName
Member	RelationShipCode
MemberCalculation	ID
MemberCalculation	MemberID
MemberCalculation	StandardCost
MemberCalculation	MaternityCost
MemberCalculation	DentalOptionCost
MemberCalculation	CongenitalOptionCost
MemberCalculation	VaccinationOptionCost
MemberCalculation	NeonatalOptionCost
MemberCalculation	PhysiotherapyOptionCost
MemberCalculation	OpticalOptionCost
MemberCalculation	OpticalFrameCost
MemberCalculation	StandardLimitFactor
MemberCalculation	ChronicLimitFactor
MemberCalculation	MaternityLimitFactor
MemberCalculation	DentalLimitFactor
MemberCalculation	OpticalLimitFactor
MemberCalculation	StandardDeductibleFactor
MemberCalculation	DentalDeductibleFactor
MemberCalculation	CongenitalDeductibleFactor
MemberCalculation	MaternityDeductibleFactor
MemberCalculation	OpticalDeductibleFactor
MemberCalculation	VaccinationDeductibleFactor
MemberCalculation	RoomTypeFactor
MemberCalculation	PaymentFrequencyFactor
MemberCalculation	NationalityFactor
MemberCalculation	CapChangeFactor
MemberCalculation	ClaimExperienceAdj
MemberCalculation	CostChangeFactor
MemberCalculation	Commission
MemberCalculation_Actuarial	ID
MemberCalculation_Actuarial	MemberID
MemberCalculation_Actuarial	StandardCost
MemberCalculation_Actuarial	MaternityCost
MemberCalculation_Actuarial	DentalOptionCost
